title,release_year,vote_average,popularity,genres,success
Toy Story,1995,7.7,21.946943,"Animation, Comedy, Family",1
Jumanji,1995,6.9,17.015539,"Adventure, Fantasy, Family",1
Waiting to Exhale,1995,6.1,3.859495,"Comedy, Drama, Romance",1
Heat,1995,7.7,17.924927,"Action, Crime, Drama, Thriller",1
Sudden Death,1995,5.5,5.23158,"Action, Adventure, Thriller",1
GoldenEye,1995,6.6,14.686036,"Adventure, Action, Thriller",1
The American President,1995,6.5,6.318445,"Comedy, Drama, Romance",1
Nixon,1995,7.1,5.092,"History, Drama",0
Cutthroat Island,1995,5.7,7.284477,"Action, Adventure",0
Casino,1995,7.8,10.137389,"Drama, Crime",1
Sense and Sensibility,1995,7.2,10.673167,"Drama, Romance",1
Four Rooms,1995,6.5,9.026586,"Crime, Comedy",1
Ace Ventura: When Nature Calls,1995,6.1,8.205448,"Crime, Comedy, Adventure",1
Money Train,1995,5.4,7.337906,"Action, Comedy, Crime",0
Get Shorty,1995,6.4,12.669608,"Comedy, Thriller, Crime",1
Assassins,1995,6.0,11.065939,"Action, Adventure, Crime, Thriller",0
Leaving Las Vegas,1995,7.1,10.332025,"Drama, Romance",1
Now and Then,1995,6.6,8.681325,"Comedy, Drama, Family",1
The City of Lost Children,1995,7.6,9.822423,"Fantasy, Science Fiction, Adventure",0
Twelve Monkeys,1995,7.4,12.297305,"Science Fiction, Thriller, Mystery",1
Babe,1995,6.0,14.404764,"Fantasy, Drama, Comedy, Family",1
Dead Man Walking,1995,7.3,6.891317,Drama,1
Mortal Kombat,1995,5.4,10.870138,"Action, Fantasy",1
To Die For,1995,6.7,10.448481,"Fantasy, Drama, Comedy, Thriller",1
How To Make An American Quilt,1995,6.5,4.485958,"Drama, Romance",1
Se7en,1995,8.1,18.45743,"Crime, Mystery, Thriller",1
Pocahontas,1995,6.7,13.280069,"Adventure, Animation, Drama, Family",1
The Usual Suspects,1995,8.1,16.302466,"Drama, Crime, Thriller",1
Mighty Aphrodite,1995,6.7,15.899134,"Comedy, Romance",0
Friday,1995,7.0,14.56965,Comedy,1
From Dusk Till Dawn,1996,6.9,15.339153,"Horror, Action, Thriller, Crime",1
Fair Game,1995,4.1,5.912223,"Action, Thriller, Romance",0
Big Bully,1996,3.9,2.936443,"Comedy, Family",0
Screamers,1995,6.1,12.758848,"Horror, Science Fiction",0
Things to Do in Denver When You're Dead,1995,6.7,4.486179,"Drama, Crime",0
White Squall,1996,6.3,9.568604,"Action, Drama",0
Nick of Time,1995,6.1,6.848591,"Crime, Drama, Thriller",1
Mary Reilly,1996,5.7,12.866139,"Drama, Horror, Thriller, Romance",0
Vampire in Brooklyn,1995,4.5,9.071127,"Comedy, Horror, Romance",1
Broken Arrow,1996,5.7,14.957626,"Action, Adventure, Drama, Thriller",1
Bottle Rocket,1996,6.8,6.904831,"Comedy, Crime, Drama",0
Happy Gilmore,1996,6.5,9.592265,Comedy,1
The Bridges of Madison County,1995,7.3,5.951077,"Drama, Romance",1
Braveheart,1995,7.7,20.755149,"Action, Drama, History, War",1
Taxi Driver,1976,8.1,14.092713,"Crime, Drama",1
Rumble in the Bronx,1995,6.5,12.314278,"Crime, Action, Comedy, Thriller",1
Steal Big Steal Little,1995,5.1,1.522412,"Comedy, Drama",0
Boomerang,1992,5.4,6.506983,"Comedy, Romance",1
Flirting with Disaster,1996,6.3,5.579088,"Comedy, Romance",1
Jade,1995,5.1,11.418917,"Action, Thriller, Mystery, Romance",0
The Birdcage,1996,6.7,6.49968,Comedy,1
Bad Boys,1995,6.5,9.262184,"Action, Comedy, Crime, Thriller",1
An Awfully Big Adventure,1995,6.0,0.922958,"Romance, Drama, Comedy",0
Apollo 13,1995,7.3,18.761467,Drama,1
Rob Roy,1995,6.5,10.193549,Adventure,1
Batman Forever,1995,5.2,13.321354,"Action, Crime, Fantasy",1
Blue in the Face,1995,6.8,11.528147,Comedy,0
Canadian Bacon,1995,5.9,5.391556,"Action, Comedy",0
Casper,1995,6.0,12.812539,"Fantasy, Comedy, Family",1
Clockers,1995,6.8,4.558992,"Mystery, Crime, Drama",0
Congo,1995,5.0,7.260574,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",1
Crimson Tide,1995,7.0,8.657365,"Action, Thriller, Drama",1
Desperado,1995,6.8,6.950458,"Thriller, Action, Crime",1
Devil in a Blue Dress,1995,6.3,4.646132,"Drama, Mystery, Thriller",0
Die Hard: With a Vengeance,1995,6.9,15.138855,"Action, Thriller",1
First Knight,1995,5.9,15.178338,"Action, Adventure, Drama, Romance",1
Hackers,1995,6.2,14.810519,"Action, Crime, Thriller, Drama",0
Johnny Mnemonic,1995,5.5,11.715868,"Adventure, Action, Drama, Science Fiction, Thriller",0
Judge Dredd,1995,5.4,8.184815,Science Fiction,1
Kids,1995,6.8,4.877872,"Drama, Crime",1
Living in Oblivion,1995,7.2,10.058329,"Drama, Comedy",1
Mallrats,1995,6.8,8.25547,"Romance, Comedy",0
Mighty Morphin Power Rangers: The Movie,1995,5.2,7.024227,"Action, Adventure, Science Fiction, Family, Fantasy",1
Mute Witness,1995,6.4,2.466066,"Thriller, Foreign",0
The Net,1995,5.6,13.304342,"Crime, Drama, Mystery, Thriller, Action",1
Party Girl,1995,5.8,1.165039,Comedy,1
The Prophecy,1995,6.4,10.187623,"Fantasy, Horror, Thriller",1
The Scarlet Letter,1995,5.5,6.752119,"Drama, History, Romance",0
Showgirls,1995,4.9,17.502375,Drama,0
Smoke,1995,7.2,5.552946,"Comedy, Drama",1
Species,1995,5.5,13.492845,"Science Fiction, Horror, Action",1
Strange Days,1995,6.8,11.223055,"Crime, Drama, Science Fiction, Thriller",0
The Tie That Binds,1995,4.6,1.820419,Thriller,0
Under Siege 2: Dark Territory,1995,5.6,7.490247,"Action, Thriller",1
A Walk in the Clouds,1995,6.5,9.715639,"Drama, Romance",1
Waterworld,1995,5.9,16.885184,"Adventure, Action",1
Burnt by the Sun,1994,6.7,2.486073,Drama,0
Before Sunrise,1995,7.7,11.304979,"Drama, Romance",1
Billy Madison,1995,6.2,6.638116,Comedy,1
Boys on the Side,1995,6.3,3.030309,"Comedy, Drama",1
Clerks,1994,7.4,10.513367,Comedy,1
Don Juan DeMarco,1994,6.3,7.438934,"Romance, Drama, Comedy",0
Disclosure,1994,5.9,11.812244,"Drama, Thriller, Crime, Mystery, Romance",1
Dumb and Dumber,1994,6.5,9.844558,Comedy,1
Ed Wood,1994,7.3,11.720358,"Comedy, Drama, History",0
Hideaway,1995,5.0,8.182165,"Drama, Thriller",0
Hoop Dreams,1994,7.7,9.47666,Documentary,1
Heavenly Creatures,1994,6.9,9.438042,"Drama, Fantasy",0
Houseguest,1995,6.0,2.688562,"Comedy, Family",1
Interview with the Vampire,1994,7.2,11.970205,"Horror, Romance",1
Jefferson in Paris,1995,5.2,1.596058,"Drama, Romance",0
Junior,1994,4.7,6.710215,"Comedy, Family, Romance",0
Star Wars,1977,8.1,42.149697,"Adventure, Action, Science Fiction",1
Like Water for Chocolate,1992,6.6,4.126083,"Drama, Romance",1
Legends of the Fall,1994,7.2,12.199047,"Adventure, Drama, Romance, War",1
Losing Isaiah,1995,6.4,7.698526,Drama,0
Mary Shelley's Frankenstein,1994,6.1,14.287753,"Drama, Horror, Science Fiction, Romance",1
