title,release_year,budget,revenue,loss,genres
The Lone Ranger,2013,255000000.0,89289910.0,165710090.0,"Action, Adventure, Western"
The Alamo,2004,145000000.0,25819961.0,119180039.0,"Western, History, War"
Mars Needs Moms,2011,150000000.0,38992758.0,111007242.0,"Adventure, Animation, Family"
Valerian and the City of a Thousand Planets,2017,197471676.0,90024292.0,107447384.0,"Adventure, Science Fiction, Action"
The 13th Warrior,1999,160000000.0,61698899.0,98301101.0,"Adventure, Fantasy, Action"
The Adventures of Pluto Nash,2002,100000000.0,7103973.0,92896027.0,"Action, Comedy, Science Fiction"
Metropolis,1927,92620000.0,650422.0,91969578.0,"Drama, Science Fiction"
Cutthroat Island,1995,98000000.0,10017322.0,87982678.0,"Action, Adventure"
Live by Night,2016,108000000.0,22678555.0,85321445.0,"Crime, Drama"
Flushed Away,2006,149000000.0,64459316.0,84540684.0,"Adventure, Animation, Comedy, Family"
Australia,2008,130000000.0,49554002.0,80445998.0,Drama
Town & Country,2001,90000000.0,10372291.0,79627709.0,"Comedy, Romance"
Supernova,2000,90000000.0,14828081.0,75171919.0,"Horror, Science Fiction, Thriller"
A Sound of Thunder,2005,80000000.0,5989640.0,74010360.0,"Thriller, Science Fiction, Adventure, Action"
The Nutcracker: The Untold Story,2010,90000000.0,16178959.0,73821041.0,"Fantasy, Action, Family"
Awake,2007,86000000.0,14373825.0,71626175.0,"Thriller, Crime, Mystery"
How Do You Know,2010,120000000.0,48668907.0,71331093.0,"Comedy, Drama, Romance"
The Great Raid,2005,80000000.0,10166502.0,69833498.0,"Action, History, War"
Monkeybone,2001,75000000.0,5409517.0,69590483.0,"Adventure, Fantasy, Animation, Action, Comedy"
R.I.P.D.,2013,130000000.0,61648500.0,68351500.0,"Fantasy, Action, Comedy, Crime"
The Invasion,2007,80000000.0,15071514.0,64928486.0,"Science Fiction, Thriller"
Foodfight!,2012,65000000.0,73706.0,64926294.0,"Animation, Action, Comedy, Family"
K-19: The Widowmaker,2002,100000000.0,35168966.0,64831034.0,"Drama, History, Thriller"
The Postman,1997,80000000.0,17626234.0,62373766.0,"Drama, Adventure"
Sphere,1998,75000000.0,13100000.0,61900000.0,Science Fiction
Osmosis Jones,2001,75000000.0,13596911.0,61403089.0,"Adventure, Animation, Action, Comedy, Family"
Virus,1999,75000000.0,14010690.0,60989310.0,"Horror, Action, Science Fiction"
Lolita,1997,62000000.0,1060056.0,60939944.0,"Drama, Romance"
Monster Trucks,2016,125000000.0,64493915.0,60506085.0,"Action, Comedy, Science Fiction"
Soldier,1998,75000000.0,14567883.0,60432117.0,"Action, War, Science Fiction"
Chill Factor,1999,70000000.0,11263966.0,58736034.0,"Action, Comedy, Thriller"
Stealth,2005,135000000.0,76932943.0,58067057.0,Action
The Astronaut's Wife,1999,75000000.0,19598588.0,55401412.0,"Drama, Science Fiction, Thriller"
Blackhat,2015,70000000.0,17752940.0,52247060.0,"Crime, Drama, Mystery"
Upside Down,2012,60000000.0,8106475.0,51893525.0,"Romance, Science Fiction, Drama, Fantasy"
Final Fantasy: The Spirits Within,2001,137000000.0,85131830.0,51868170.0,"Adventure, Action, Animation, Fantasy, Science Fiction, Thriller"
Legends of Oz: Dorothy's Return,2013,70000000.0,18662027.0,51337973.0,"Animation, Music, Family"
Rock Dog,2016,60000000.0,9420546.0,50579454.0,"Adventure, Animation, Comedy, Family, Music"
Hard Rain,1998,70000000.0,19870567.0,50129433.0,Thriller
Ballistic: Ecks vs. Sever,2002,70000000.0,19924033.0,50075967.0,"Action, Adventure, Thriller"
D-Tox,2002,55000000.0,6416302.0,48583698.0,"Action, Thriller"
Hudson Hawk,1991,65000000.0,17218080.0,47781920.0,"Action, Adventure, Comedy"
The Iron Giant,1999,70000000.0,23159305.0,46840695.0,"Adventure, Animation, Family, Fantasy, Science Fiction"
Gigli,2003,54000000.0,7266209.0,46733791.0,Drama
Child 44,2015,50000000.0,3324330.0,46675670.0,"Crime, Thriller"
Alfie,2004,60000000.0,13395939.0,46604061.0,Comedy
Red Planet,2000,80000000.0,33463969.0,46536031.0,"Thriller, Action, Science Fiction"
The Out-of-Towners,1999,75000000.0,29000000.0,46000000.0,Comedy
All the King's Men,2006,55000000.0,9450897.0,45549103.0,"Drama, Thriller"
Bullet to the Head,2013,55000000.0,9489829.0,45510171.0,"Action, Crime, Thriller"
Thirteen Days,2000,80000000.0,34566746.0,45433254.0,"Drama, Thriller"
The Last Castle,2001,72000000.0,27642707.0,44357293.0,"Action, Drama, Thriller"
Get Carter,2000,63600000.0,19412993.0,44187007.0,"Action, Drama, Thriller, Crime"
Fire Down Below,1997,60000000.0,16000000.0,44000000.0,"Action, Adventure, Crime, Thriller"
Turbulence,1997,55000000.0,11466088.0,43533912.0,"Action, Thriller, Crime"
Mr. Nobody,2009,47000000.0,3547209.0,43452791.0,"Science Fiction, Drama, Romance, Fantasy"
3000 Miles to Graceland,2001,62000000.0,18720175.0,43279825.0,"Action, Adventure, Comedy, Thriller, Crime"
The Big Bounce,2004,50000000.0,6808550.0,43191450.0,"Comedy, Crime"
Gods and Generals,2003,56000000.0,12923936.0,43076064.0,"Drama, History, War"
Outlander,2008,50000000.0,7033683.0,42966317.0,"Fantasy, Action, Science Fiction"
Shadow Conspiracy,1997,45000000.0,2154540.0,42845460.0,"Action, Thriller"
The Wild,2006,80000000.0,37384046.0,42615954.0,"Family, Animation"
Flyboys,2006,60000000.0,17800000.0,42200000.0,"Action, Adventure, Drama, History, Romance, War"
The Last Legion,2007,67000000.0,25303038.0,41696962.0,"Action, Adventure, Fantasy, War"
Stay,2005,50000000.0,8342132.0,41657868.0,"Mystery, Thriller, Drama"
Conan the Barbarian,2011,90000000.0,48795021.0,41204979.0,"Adventure, Fantasy, Action"
The Adventures of Rocky & Bullwinkle,2000,76000000.0,35134820.0,40865180.0,"Action, Adventure, Animation, Comedy, Family"
Ishtar,1987,55000000.0,14375181.0,40624819.0,"Action, Adventure, Comedy"
Goya's Ghosts,2006,50000000.0,9448082.0,40551918.0,Drama
The Legend of Bagger Vance,2000,80000000.0,39459427.0,40540573.0,"Fantasy, Drama"
Heaven's Gate,1980,44000000.0,3484331.0,40515669.0,"Action, Drama, History, Western"
Love in the Time of Cholera,2007,45000000.0,4607608.0,40392392.0,"Drama, Romance"
Jade,1995,50000000.0,9851610.0,40148390.0,"Action, Thriller, Mystery, Romance"
Rock Star,2001,57000000.0,16991902.0,40008098.0,"Music, Drama, Comedy"
1492: Conquest of Paradise,1992,47000000.0,7191399.0,39808601.0,"Action, Adventure, Drama, History"
The Ottoman Lieutenant,2017,40000000.0,240978.0,39759022.0,"Romance, Drama, War"
The Scarlet Letter,1995,50000000.0,10382407.0,39617593.0,"Drama, History, Romance"
Mad City,1997,50000000.0,10541523.0,39458477.0,"Action, Drama, Thriller"
Driven,2001,94000000.0,54744738.0,39255262.0,Action
The Adventures of Baron Munchausen,1988,46630000.0,8083123.0,38546877.0,"Action, Adventure, Comedy, Fantasy"
Fair Game,1995,50000000.0,11534477.0,38465523.0,"Action, Thriller, Romance"
Pirates,1986,40000000.0,1641825.0,38358175.0,"Adventure, Comedy"
Titan A.E.,2000,75000000.0,36754634.0,38245366.0,"Animation, Action, Science Fiction, Family, Adventure"
Mystery Men,1999,68000000.0,29762011.0,38237989.0,"Adventure, Fantasy, Action, Comedy, Science Fiction"
Wyatt Earp,1994,63000000.0,25052000.0,37948000.0,"Drama, Action, Western"
Around the World in 80 Days,2004,110000000.0,72178895.0,37821105.0,"Action, Adventure, Comedy"
Hart's War,2002,70000000.0,32287044.0,37712956.0,"Drama, War"
Windtalkers,2002,115000000.0,77628265.0,37371735.0,"Drama, Action, History, War"
Ride with the Devil,1999,38000000.0,635096.0,37364904.0,"Drama, War, Romance, Western"
Street Fighter: The Legend of Chun-Li,2009,50000000.0,12764201.0,37235799.0,"Action, Adventure, Science Fiction, Thriller"
Solomon Kane,2009,45000000.0,7810000.0,37190000.0,"Adventure, Fantasy, Action, Science Fiction"
City of Ember,2008,55000000.0,17869048.0,37130952.0,"Adventure, Family, Fantasy"
The Mod Squad,1999,50000000.0,13260050.0,36739950.0,"Action, Mystery, Thriller"
Jonah Hex,2010,47000000.0,10539000.0,36461000.0,"Action, Western, Drama, Fantasy, Thriller"
I Spy,2002,70000000.0,33561137.0,36438863.0,"Action, Adventure, Comedy, Thriller"
The Fan,1996,55000000.0,18626419.0,36373581.0,"Drama, Mystery, Thriller"
Broken City,2013,56000000.0,19701164.0,36298836.0,"Thriller, Crime, Drama"
Timeline,2003,80000000.0,43935763.0,36064237.0,"Action, Adventure, Science Fiction"
Miracle at St. Anna,2008,45000000.0,9323833.0,35676167.0,"Drama, War"
The Majestic,2001,72000000.0,37317558.0,34682442.0,"Drama, Romance"
At Play in the Fields of the Lord,1991,36000000.0,1345903.0,34654097.0,"Drama, Romance"
Mary Reilly,1996,47000000.0,12379402.0,34620598.0,"Drama, Horror, Thriller, Romance"
Man on the Moon,1999,82000000.0,47434430.0,34565570.0,"Comedy, Drama, Romance"
Black Gold,2011,40000000.0,5446000.0,34554000.0,"Adventure, Drama"
Black Gold,2011,40000000.0,5446000.0,34554000.0,"Adventure, Drama"
Universal Soldier: The Return,1999,45000000.0,10667893.0,34332107.0,"Action, Science Fiction"
Anna Karenina,1997,35000000.0,791830.0,34208170.0,"Drama, Romance"
Strange Days,1995,42000000.0,7959291.0,34040709.0,"Crime, Drama, Science Fiction, Thriller"
Deep Rising,1998,45000000.0,11203026.0,33796974.0,"Adventure, Action, Horror, Science Fiction"
Sinbad: Legend of the Seven Seas,2003,60000000.0,26288320.0,33711680.0,"Family, Animation, Adventure"
The Big Year,2011,41000000.0,7448385.0,33551615.0,Comedy
Terminal Velocity,1994,50000000.0,16478900.0,33521100.0,"Action, Thriller"
