title,release_year,budget,revenue,runtime,vote_average,vote_count,popularity,genres,success
Toy Story,1995,30000000.0,373554033.0,81.0,7.7,5415.0,21.946943,"Animation, Comedy, Family",1
Jumanji,1995,65000000.0,262797249.0,104.0,6.9,2413.0,17.015539,"Adventure, Fantasy, Family",1
Waiting to Exhale,1995,16000000.0,81452156.0,127.0,6.1,34.0,3.859495,"Comedy, Drama, Romance",1
Heat,1995,60000000.0,187436818.0,170.0,7.7,1886.0,17.924927,"Action, Crime, Drama, Thriller",1
Sudden Death,1995,35000000.0,64350171.0,106.0,5.5,174.0,5.23158,"Action, Adventure, Thriller",1
GoldenEye,1995,58000000.0,352194034.0,130.0,6.6,1194.0,14.686036,"Adventure, Action, Thriller",1
The American President,1995,62000000.0,107879496.0,106.0,6.5,199.0,6.318445,"Comedy, Drama, Romance",1
Nixon,1995,44000000.0,13681765.0,192.0,7.1,72.0,5.092,"History, Drama",0
Cutthroat Island,1995,98000000.0,10017322.0,119.0,5.7,137.0,7.284477,"Action, Adventure",0
Casino,1995,52000000.0,116112375.0,178.0,7.8,1343.0,10.137389,"Drama, Crime",1
Sense and Sensibility,1995,16500000.0,135000000.0,136.0,7.2,364.0,10.673167,"Drama, Romance",1
Four Rooms,1995,4000000.0,4300000.0,98.0,6.5,539.0,9.026586,"Crime, Comedy",1
Ace Ventura: When Nature Calls,1995,30000000.0,212385533.0,90.0,6.1,1128.0,8.205448,"Crime, Comedy, Adventure",1
Money Train,1995,60000000.0,35431113.0,103.0,5.4,224.0,7.337906,"Action, Comedy, Crime",0
Get Shorty,1995,30250000.0,115101622.0,105.0,6.4,305.0,12.669608,"Comedy, Thriller, Crime",1
Assassins,1995,50000000.0,30303072.0,132.0,6.0,394.0,11.065939,"Action, Adventure, Crime, Thriller",0
Leaving Las Vegas,1995,3600000.0,49800000.0,112.0,7.1,365.0,10.332025,"Drama, Romance",1
Now and Then,1995,12000000.0,27400000.0,100.0,6.6,91.0,8.681325,"Comedy, Drama, Family",1
The City of Lost Children,1995,18000000.0,1738611.0,108.0,7.6,308.0,9.822423,"Fantasy, Science Fiction, Adventure",0
Twelve Monkeys,1995,29500000.0,168840000.0,129.0,7.4,2470.0,12.297305,"Science Fiction, Thriller, Mystery",1
Babe,1995,30000000.0,254134910.0,89.0,6.0,756.0,14.404764,"Fantasy, Drama, Comedy, Family",1
Dead Man Walking,1995,11000000.0,39363635.0,122.0,7.3,350.0,6.891317,Drama,1
Mortal Kombat,1995,18000000.0,122195920.0,101.0,5.4,452.0,10.870138,"Action, Fantasy",1
To Die For,1995,20000000.0,21284514.0,106.0,6.7,177.0,10.448481,"Fantasy, Drama, Comedy, Thriller",1
How To Make An American Quilt,1995,10000000.0,23574130.0,116.0,6.5,38.0,4.485958,"Drama, Romance",1
Se7en,1995,33000000.0,327311859.0,127.0,8.1,5915.0,18.45743,"Crime, Mystery, Thriller",1
